ID;DATE;FISCAL YEAR;MONTH;MONTH DESC;MONTHDAY;WEEKDAY;WEEKDAY DESC;DAY DESC;CWEEK;QUARTER;YEAR-QUARTER;HALFYEAR;YEAR-HALFYEAR
215;2015-08-04;2015;8;August;4;2;Working Day;Tuesday;31;Q3;2015-Q3;H2;2015-H2
216;2015-08-05;2015;8;August;5;3;Working Day;Wednesday;31;Q3;2015-Q3;H2;2015-H2
217;2015-08-06;2015;8;August;6;4;Working Day;Thursday;31;Q3;2015-Q3;H2;2015-H2
218;2015-08-07;2015;8;August;7;5;Working Day;Friday;31;Q3;2015-Q3;H2;2015-H2
219;2015-08-08;2015;8;August;8;6;Weekend;Saturday;31;Q3;2015-Q3;H2;2015-H2
220;2015-08-09;2015;8;August;9;7;Weekend;Sunday;31;Q3;2015-Q3;H2;2015-H2
221;2015-08-10;2015;8;August;10;1;Working Day;Monday;32;Q3;2015-Q3;H2;2015-H2
222;2015-08-11;2015;8;August;11;2;Working Day;Tuesday;32;Q3;2015-Q3;H2;2015-H2
223;2015-08-12;2015;8;August;12;3;Working Day;Wednesday;32;Q3;2015-Q3;H2;2015-H2
224;2015-08-13;2015;8;August;13;4;Working Day;Thursday;32;Q3;2015-Q3;H2;2015-H2
225;2015-08-14;2015;8;August;14;5;Working Day;Friday;32;Q3;2015-Q3;H2;2015-H2
226;2015-08-15;2015;8;August;15;6;Weekend;Saturday;32;Q3;2015-Q3;H2;2015-H2
227;2015-08-16;2015;8;August;16;7;Weekend;Sunday;32;Q3;2015-Q3;H2;2015-H2
228;2015-08-17;2015;8;August;17;1;Working Day;Monday;33;Q3;2015-Q3;H2;2015-H2
229;2015-08-18;2015;8;August;18;2;Working Day;Tuesday;33;Q3;2015-Q3;H2;2015-H2
230;2015-08-19;2015;8;August;19;3;Working Day;Wednesday;33;Q3;2015-Q3;H2;2015-H2
231;2015-08-20;2015;8;August;20;4;Working Day;Thursday;33;Q3;2015-Q3;H2;2015-H2
232;2015-08-21;2015;8;August;21;5;Working Day;Friday;33;Q3;2015-Q3;H2;2015-H2
233;2015-08-22;2015;8;August;22;6;Weekend;Saturday;33;Q3;2015-Q3;H2;2015-H2
234;2015-08-23;2015;8;August;23;7;Weekend;Sunday;33;Q3;2015-Q3;H2;2015-H2
235;2015-08-24;2015;8;August;24;1;Working Day;Monday;34;Q3;2015-Q3;H2;2015-H2
